date,flu_a_load,flu_b_load,rsv_load,sars_cov2_load,season_sin,season_cos
2022-11-06,541443.9808490975,0.0,20120362.373033814,309246681.1142274,-0.833263145893403,0.5528765953590633
2022-11-13,2888804.855375315,0.0,23930397.305101898,252129965.11126068,-0.7608163763489766,0.6489672114053316
2022-11-20,0.0,0.0,9238260.288713524,289136863.3665259,-0.6773515089992289,0.7356595226437754
2022-11-27,2304410.9448054717,1156326.846137712,20171776.40407929,343588279.23192436,-0.5840772771211428,0.8116980561457271
2022-12-04,8625023.292046601,0.0,36976345.968838036,502037210.6473359,-0.4823444726291631,0.8759816263621598
2022-12-11,7990966.41246234,485978.43226335285,19831567.024322964,386681110.009372,-0.3736263839865089,0.9275792824277426
2022-12-18,32374093.873757154,3970622.500822046,15487658.56153183,277454410.7651924,-0.25949746012870334,0.9657437901362618
2022-12-25,32152375.112333726,3223631.021173188,6420431.06568174,332907590.2299911,-0.1416105093871293,0.9899224533422392
2023-01-01,10666528.806562928,5279953.0193714155,7582640.552969033,79531917.3001079,-0.021672763616436087,0.9997651180738534
2023-01-08,10410552.663277274,7549441.329762895,6718152.012182759,61502540.5742982,0.12012289230803276,0.9927590295452128
2023-01-15,3538683.2600142574,8466116.873290202,3572861.7163173445,34251770.55060599,0.23850617198777344,0.9711409814871055
2023-01-22,3064472.5887112888,9194525.213219512,756370.6792236345,64103514.27184839,0.35343541937821843,0.9354589271202359
2023-01-29,9774072.516511563,12218118.814007068,3664881.1473139008,78287375.46786165,0.46324623590987735,0.8862296118474773
2023-02-05,18226297.049538728,43275851.063790165,1967074.8534655536,114299068.22845982,0.5663483478265068,0.8241659717036285
2023-02-12,8127945.294866869,37538663.216206715,958187.053164341,268426252.31027257,0.6612486364356777,0.7501668086578858
2023-02-26,4376280.90012648,34346798.739023075,871198.430381123,87052942.43405792,0.821085063680431,0.5708058498306605
2023-03-05,1934963.8812176445,12374646.507317638,752954.9427880741,32156115.286562257,0.8837064606214575,0.46804154885639837
2023-03-12,1414158.869977792,22917602.506827623,969622.1412963684,95805005.2165999,0.933530072818355,0.3584990978283722
2023-03-19,2547232.6612134827,16560449.868516965,0.0,104560320.63274306,0.9698343576633864,0.24376488404946006
2023-03-26,1218853.5351611164,15079113.53921423,1288106.5769929122,201510702.23344183,0.9920935586486618,0.12550048162391395
2023-04-02,0.0,7291889.858097507,289202.78419069573,129256784.61257853,0.9999853193408178,0.00541858863936743
